Date;USD
09.08.21;491.2900
10.08.21;490.6400
11.08.21;491.0700
12.08.21;491.7500
13.08.21;492.2600
16.08.21;492.5200
17.08.21;492.1400
18.08.21;491.0800
19.08.21;490.6900
20.08.21;490.1100
23.08.21;490.5600
24.08.21;490.9800
25.08.21;492.2800
26.08.21;493.0600
27.08.21;493.7100
30.08.21;493.4900
31.08.21;493.1200
01.09.21;493.6000
02.09.21;493.5400
03.09.21;493.6500
06.09.21;493.4800
07.09.21;493.6500
08.09.21;493.6600
09.09.21;493.1700
10.09.21;492.8500
13.09.21;491.8800
14.09.21;490.1900
15.09.21;487.0000
16.09.21;486.3700
17.09.21;484.9300
22.09.21;484.2300
23.09.21;483.7500
24.09.21;482.2400
25.09.21;480.8200
27.09.21;481.2900
28.09.21;482.6100
29.09.21;483.4900
30.09.21;484.2000
01.10.21;485.3200
04.10.21;485.2400
05.10.21;484.6700
06.10.21;483.0100
07.10.21;480.8700
08.10.21;479.3000
11.10.21;478.7100
12.10.21;478.7800
13.10.21;479.1800
14.10.21;478.7600
15.10.21;478.4200
18.10.21;478.2700
19.10.21;477.3400
20.10.21;476.5500
21.10.21;476.4700
22.10.21;476.4800
25.10.21;476.9500
26.10.21;476.9400
27.10.21;477.3100
28.10.21;477.7900
29.10.21;477.8000
01.11.21;477.4500
02.11.21;477.2100
03.11.21;476.8500
04.11.21;476.2200
05.11.21;475.9100
08.11.21;475.9200
09.11.21;475.7600
10.11.21;475.6800
11.11.21;475.5700
12.11.21;475.1900
15.11.21;475.6500
16.11.21;475.3200
17.11.21;475.9900
18.11.21;476.2400
19.11.21;476.2800
22.11.21;476.5200
23.11.21;477.1500
24.11.21;478.1100
25.11.21;480.2200
26.11.21;483.0700
29.11.21;485.8600
30.11.21;486.2800
01.12.21;487.9800
02.12.21;488.5000
03.12.21;489.9900
06.12.21;491.0300
07.12.21;492.4100
08.12.21;493.8100
09.12.21;495.2400
10.12.21;495.3200
13.12.21;494.6700
14.12.21;488.4500
15.12.21;482.0200
16.12.21;480.0200
17.12.21;481.1900
20.12.21;480.6100
21.12.21;481.1100
22.12.21;479.1400
23.12.21;478.2200
24.12.21;477.9700
27.12.21;478.4800
28.12.21;478.1200
29.12.21;478.6400
30.12.21;480.1400
03.01.22;481.5900
04.01.22;482.1900
05.01.22;482.5500
07.01.22;482.7900
10.01.22;482.9600
11.01.22;482.3200
12.01.22;481.4900
13.01.22;480.8300
14.01.22;480.8800
17.01.22;481.4900
18.01.22;481.5200
19.01.22;481.6500
20.01.22;481.6600
21.01.22;482.1200
24.01.22;481.6300
25.01.22;482.2600
26.01.22;482.4700
27.01.22;482.5700
31.01.22;482.7800
01.02.22;483.3800
02.02.22;482.5200
03.02.22;482.3000
04.02.22;481.6300
07.02.22;481.2600
08.02.22;480.2900
09.02.22;479.1100
10.02.22;479.0400
11.02.22;478.9400
14.02.22;478.8700
15.02.22;479.2900
16.02.22;479.1300
17.02.22;478.3800
18.02.22;479.0000
21.02.22;478.7000
22.02.22;478.4300
23.02.22;478.7800
24.02.22;479.7800
25.02.22;482.1200
28.02.22;483.9200
01.03.22;484.8600
02.03.22;489.3600
03.03.22;496.4800
04.03.22;503.0800
07.03.22;510.1800
09.03.22;512.4100
10.03.22;516.0100
11.03.22;518.2800
14.03.22;514.9700
15.03.22;507.9400
16.03.22;499.0400
17.03.22;490.4900
18.03.22;488.6000
21.03.22;488.7700
22.03.22;488.8600
23.03.22;489.1500
24.03.22;489.8100
25.03.22;490.3000
28.03.22;490.3700
29.03.22;490.4000
30.03.22;487.7700
31.03.22;485.9100
01.04.22;484.7800
04.04.22;483.1500
05.04.22;481.5900
06.04.22;479.3800
07.04.22;476.9200
08.04.22;475.6900
11.04.22;474.8400
12.04.22;473.1300
13.04.22;472.4300
14.04.22;471.5100
15.04.22;471.4400
18.04.22;471.3500
19.04.22;470.8300
20.04.22;469.2100
21.04.22;467.7700
22.04.22;467.2800
25.04.22;466.5200
26.04.22;463.1400
27.04.22;459.9800
28.04.22;456.6700
29.04.22;453.2600
02.05.22;449.6500
03.05.22;450.7900
04.05.22;454.6300
05.05.22;464.4900
06.05.22;474.3800
10.05.22;472.6400
11.05.22;466.8700
12.05.22;460.1300
13.05.22;455.9400
16.05.22;454.9900
17.05.22;454.8600
18.05.22;457.4900
19.05.22;459.4000
20.05.22;458.9800
23.05.22;455.7300
24.05.22;452.7000
25.05.22;450.7100
26.05.22;447.1700
27.05.22;448.1800
30.05.22;449.5600
31.05.22;447.9900
01.06.22;445.6400
02.06.22;443.2600
03.06.22;440.1500
06.06.22;437.6200
07.06.22;433.8700
08.06.22;430.7900
09.06.22;426.8500
10.06.22;421.9500
13.06.22;418.6400
14.06.22;419.6300
15.06.22;424.4200
16.06.22;427.5300
17.06.22;425.3000
20.06.22;421.0300
21.06.22;417.0100
22.06.22;412.6200
23.06.22;410.8200
24.06.22;408.5600
27.06.22;409.6400
28.06.22;408.3900
29.06.22;408.3100
30.06.22;407.2100
01.07.22;407.9500
04.07.22;407.5200
06.07.22;408.2000
07.07.22;409.3800
08.07.22;410.6700
11.07.22;410.9600
12.07.22;411.0400
13.07.22;411.8400
14.07.22;412.6300
15.07.22;413.4200
18.07.22;415.0500
19.07.22;415.3500
20.07.22;415.6000
21.07.22;414.8400
22.07.22;413.1000
25.07.22;411.3200
26.07.22;409.4300
27.07.22;407.8500
28.07.22;406.6900
29.07.22;407.7100
01.08.22;407.5300
02.08.22;406.9700
03.08.22;406.4200
04.08.22;405.9500
05.08.22;406.1400
08.08.22;406.6100
09.08.22;406.2800
10.08.22;405.7800
11.08.22;406.0900
12.08.22;405.9100
15.08.22;406.1900
16.08.22;406.0900
17.08.22;405.9600
18.08.22;405.7900
19.08.22;405.1500
22.08.22;405.4600
23.08.22;404.9300
24.08.22;404.8700
25.08.22;404.9400
26.08.22;404.8200
29.08.22;405.1200
30.08.22;404.7700
31.08.22;404.5600
01.09.22;404.7400
02.09.22;404.5900
05.09.22;404.7400
06.09.22;404.8000
07.09.22;404.9000
08.09.22;405.1100
09.09.22;405.3200
12.09.22;405.4700
13.09.22;405.7100
14.09.22;406.7300
15.09.22;411.1400
16.09.22;415.9700
19.09.22;418.3000
20.09.22;417.9200
22.09.22;418.0400
23.09.22;416.2700
26.09.22;413.0600
27.09.22;409.8200
28.09.22;408.0400
29.09.22;405.9300
30.09.22;405.6500
03.10.22;406.2200
04.10.22;406.4900
05.10.22;405.7000
06.10.22;405.4600
07.10.22;404.5600
10.10.22;404.3000
11.10.22;404.0200
12.10.22;403.7300
13.10.22;403.9100
14.10.22;403.9400
17.10.22;404.1300
18.10.22;403.9600
19.10.22;403.9900
20.10.22;403.5900
21.10.22;403.0100
24.10.22;402.3300
25.10.22;400.9100
26.10.22;399.3800
27.10.22;396.7000
28.10.22;395.5300
